sample_id,target_q1_rad,target_q2_rad,target_q3_rad,target_q4_rad,target_q5_rad,target_q6_rad,preview_valid
274,0,1.221730476,1.221730476,0,0.3490658504,1.047197551,1
275,0,1.221730476,1.221730476,0.2617993878,0.3490658504,1.047197551,1
276,0,1.221730476,1.221730476,0.2617993878,0,1.047197551,1
277,0,1.221730476,1.221730476,0.7853981634,-0.3490658504,1.047197551,1
278,0,1.221730476,1.221730476,0.7853981634,0,1.047197551,1
279,0,1.221730476,1.221730476,0.7853981634,0.3490658504,1.047197551,1
280,0,1.221730476,1.221730476,0.2617993878,0,0.3490658504,1
281,0,1.221730476,1.221730476,0,0.3490658504,0.3490658504,1
282,0,1.221730476,1.221730476,-0.2617993878,0.3490658504,0.3490658504,1
283,0,1.221730476,1.221730476,0.2617993878,0.3490658504,0.3490658504,1
284,0,1.221730476,1.221730476,0.7853981634,0.3490658504,0.3490658504,1
285,0,1.221730476,1.221730476,0.2617993878,-0.3490658504,-0.3490658504,1
286,0,1.221730476,0.5235987756,0.7853981634,0.3490658504,-1.047197551,1
287,0,1.919862177,0.5235987756,0.2617993878,-0.3490658504,-1.047197551,1
288,0,1.919862177,0.5235987756,0,-0.3490658504,-1.047197551,1
289,0,1.919862177,0.5235987756,-0.2617993878,-0.3490658504,-1.047197551,1
290,0,1.919862177,0.5235987756,-0.2617993878,0,-1.047197551,1
291,0,1.919862177,0.5235987756,0,0,-1.047197551,1
292,0,1.919862177,0.5235987756,0.2617993878,0,-1.047197551,1
293,0,1.919862177,0.5235987756,0,0.3490658504,-1.047197551,1
294,0,1.919862177,0.5235987756,-0.2617993878,0.3490658504,-1.047197551,1
295,0,1.919862177,0.5235987756,0.2617993878,0.3490658504,-1.047197551,1
296,0,1.919862177,0.5235987756,-0.2617993878,0,-0.3490658504,1
297,0,1.919862177,0.5235987756,0,0,-0.3490658504,1
298,0,1.919862177,0.5235987756,0.2617993878,0,-0.3490658504,1
299,0,1.919862177,0.5235987756,0,-0.3490658504,-0.3490658504,1
300,0,1.919862177,0.5235987756,-0.2617993878,-0.3490658504,-0.3490658504,1
301,0,1.919862177,0.5235987756,-0.2617993878,-0.3490658504,0,1
302,0,1.919862177,0.5235987756,0,-0.3490658504,0,1
303,0,1.919862177,0.5235987756,0.2617993878,-0.3490658504,0,1
304,0,1.919862177,0.5235987756,0,-0.3490658504,0.3490658504,1
305,0,1.919862177,0.5235987756,-0.2617993878,-0.3490658504,0.3490658504,1
306,0,1.919862177,0.5235987756,-0.2617993878,0,0,1
307,0,1.919862177,0.5235987756,0,0,0,1
308,0,1.919862177,0.5235987756,0.2617993878,0,0,1
309,0,1.919862177,0.5235987756,0,0,0.3490658504,1
310,0,1.919862177,0.5235987756,-0.2617993878,0,0.3490658504,1
311,0,1.919862177,0.5235987756,-0.2617993878,0.3490658504,0,1
312,0,1.919862177,0.5235987756,0,0.3490658504,0,1
313,0,1.919862177,0.5235987756,0.2617993878,0.3490658504,0,1
314,0,1.919862177,0.5235987756,0,0.3490658504,-0.3490658504,1
315,0,1.919862177,0.5235987756,-0.2617993878,0.3490658504,-0.3490658504,1
316,0,1.919862177,0.5235987756,0.2617993878,0.3490658504,-0.3490658504,1
317,0,1.919862177,0.5235987756,-0.2617993878,0.3490658504,0.3490658504,1
318,0,1.919862177,0.5235987756,0,0.3490658504,0.3490658504,1
319,0,1.919862177,0.5235987756,0.2617993878,0.3490658504,0.3490658504,1
320,0,1.919862177,0.5235987756,0.2617993878,0,0.3490658504,1
321,0,1.919862177,0.5235987756,0.2617993878,-0.3490658504,0.3490658504,1
322,0,1.919862177,0.5235987756,-0.2617993878,-0.3490658504,1.047197551,1
323,0,1.919862177,0.5235987756,0,-0.3490658504,1.047197551,1
324,0,1.919862177,0.5235987756,0.2617993878,-0.3490658504,1.047197551,1
325,0,1.919862177,0.5235987756,0,0,1.047197551,1
